Character	Series
Kitty Pryde	Astonishing X-Men (2004 - Present)
Kitty Pryde	Astonishing X-Men by Joss Whedon & John Cassaday (2009 - Present)
Kitty Pryde	Astonishing X-Men Vol. 1 (2006)
Kitty Pryde	Astonishing X-Men Vol. 1: Gifted (2004)
Kitty Pryde	Astonishing X-Men Vol. 2: Dangerous (2005)
Kitty Pryde	Astonishing X-Men Vol. 3: Torn (2007)
Kitty Pryde	Astonishing X-Men Vol. 4: Unstoppable (2008)
Kitty Pryde	Avengers (1998 - 2004)
Kitty Pryde	Avengers Assemble (2004)
Kitty Pryde	Cable (2008 - 2010)
Kitty Pryde	Cable (1993 - 2002)
Kitty Pryde	Clandestine Classic Premiere (2008)
Kitty Pryde	Deadpool (1997 - 2002)
Kitty Pryde	Excalibur (1988 - 1998)
Kitty Pryde	Excalibur Visionaries: Alan Davis Vol. 3 TPB (2010 - Present)
Kitty Pryde	Girl Comics (2010)
Kitty Pryde	Marvel Comics Presents (1988 - 1995)
Kitty Pryde	Marvel Fanfare (1982 - 1992)
Kitty Pryde	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Kitty Pryde	Marvel Zombies/Army of Darkness (2007)
Mr. Hyde	Amazing Spider-Man (1963 - 1998)
Mr. Hyde	Captain America (1968 - 1996)
Mr. Hyde	Daredevil (1963 - 1998)
Mr. Hyde	Hulk Visionaries: Peter David Vol. 5 (2008)
Mr. Hyde	Incredible Hulk (1962 - 1999)
Mr. Hyde	Iron Man (1998 - 2004)
Mr. Hyde	Marvel Masterworks: Daredevil Vol. 3 (2005)
Mr. Hyde	New Avengers (2004 - 2010)
Mr. Hyde	New Avengers Vol. 1: Breakout (2006)
Mr. Hyde	Spider-Man's Tangled Web (2001 - 2003)
Mr. Hyde	Spider-Man's Tangled Web Vol. III (2002)
U-Go Girl	X-Force (1991 - 2004)
U-Go Girl	X-Force: Famous, Mutant & Mortal (2003)
George Stacy (Ultimate)	Ultimate Spider-Man (2000 - 2009)
George Stacy (Ultimate)	Ultimate Spider-Man Ultimate Collection Book 1 (2007)
George Stacy (Ultimate)	Ultimate Spider-Man Vol. 1: Power & Responsibility (1999)
George Stacy (Ultimate)	Ultimate Spider-Man Vol. 3: Double Trouble (2005)
George Stacy (Ultimate)	Ultimate Spider-Man Vol. III: Double Trouble (2002)
George Stacy (Ultimate)	Ultimate Spider-Man Vol. IV: Legacy (2002)
Electro	Amazing Spider-Girl Vol. 1: Whatever Happened to the Daughter of Spider-Man (2007)
Electro	Amazing Spider-Man (1963 - 1998)
Electro	Amazing Spider-Man (1999 - 2013)
Electro	Amazing Spider-Man Omnibus Vol. 1 (2007)
Electro	Daredevil (1963 - 1998)
Electro	Daredevil (1998 - 2011)
Electro	Daredevil Visionaries: Kevin Smith (Daredevil Vol. I: Guardian Devil) (1999)
Electro	Fantastic Four/Spider-Man Classic (2005)
Electro	Invincible Iron Man (2008 - 2012)
Electro	Iron Man (1968 - 1996)
Electro	Iron Man: Armor Wars (2007)
Electro	Marvel Masterworks: Daredevil Vol. I - 2nd Edition (1st) (2003)
Electro	Marvel Masterworks: Golden Age Marvel Comics Vol. 3 (2008)
Electro	Marvel Masterworks: Golden Age Marvel Comics Vol. 3 (2008)
Electro	Marvel Masterworks: Golden Age Marvel Comics Vol.2 (2006)
Electro	Marvel Mystery Comics (1939 - 1949)
Electro	Marvel Team-Up (1972 - 1985)
Electro	Marvelous Adventures of Gus Beezer: Gus Beeze (2004)
Electro	Mighty Avengers (2007 - 2010)
Electro	New Avengers (2004 - 2010)
Rogue (Ultimate)	Ultimate Comics X-Men (2011 - Present)
Rogue (Ultimate)	Ultimate War (2003)
Rogue (Ultimate)	Ultimate X-Men (2000 - 2009)
Rogue (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Rogue (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Rogue (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Mr. Negative	Amazing Spider-Man (1999 - 2013)
Mr. Negative	Amazing Spider-Man: Extra! (2009)
Mr. Negative	Spider-Island: Cloak & Dagger (2011)
Armory	Avengers: The Initiative Annual (2007)
Armory	Secret Invasion: The Infiltration (2008)
Anita Blake	Anita Blake, Vampire Hunter: Guilty Pleasures (2006 - 2008)
Anita Blake	Anita Blake, Vampire Hunter: Guilty Pleasures - The Complete Collection (2009 - Present)
Anita Blake	Anita Blake, Vampire Hunter: Guilty Pleasures Vol. 1 (2007)
Anita Blake	Anita Blake, Vampire Hunter: Guilty Pleasures Vol. 2 (2008 - Present)
Anita Blake	Anita Blake: Circus of the Damned - The Scoundrel (2011)
Anita Blake	Anita Blake: Circus of the Damned Book 1 (2011)
Anita Blake	Anita Blake: Circus of the Damned The Ingenue (2010 - 2011)
Anita Blake	Anita Blake: The Laughing Corpse - Necromancer (2009)
Anita Blake	Laurell K. Hamilton's Anita Blake - Vampire Hunter: The First Death (2007)
Anita Blake	Laurell K. Hamilton's Anita Blake, Vampire Hunter: The First Death DM Only (2008)
Spider-Man (1602)	Amazing Spider-Man (1963 - 1998)
Spider-Man (1602)	Exiles (2001 - 2008)
Spider-Man (1602)	Exiles Vol. 15: Enemy of the Stars (2007)
Spider-Man (1602)	Spider-Man 2099 (1992 - 1996)
Korg	Incredible Hulk (1999 - 2008)
Korg	Incredible Hulks (2009 - 2011)
Purple Man	Daredevil (1963 - 1998)
Purple Man	Heroes for Hire (2010 - 2011)
Purple Man	New Thunderbolts (2004 - 2006)
Purple Man	New Thunderbolts Vol. 2: Modern Marvels (2005)
Doorman	Deadpool (1997 - 2002)
Doorman	G.L.a. (2005)
Doorman	G.L.a.: Misassembled (2005)
Nomad (Rikki Barnes)	Captain America (2004 - 2011)
Nomad (Rikki Barnes)	Onslaught Unleashed (2010 - 2011)
May Parker	Amazing Spider-Man (1999 - 2013)
May Parker	Amazing Spider-Man Family (2008 - 2009)
May Parker	Peter Parker: Spider-Man (1999 - 2003)
May Parker	Sensational Spider-Man (2006 - 2007)
May Parker	Spider-Man, Peter Parker: Back in Black (2007)
May Parker	SPIDER-MAN: THE GAUNTLET VOL. 5 - LIZARD  (2011)
Silver Surfer	Annihilation (2006 - 2007)
Silver Surfer	Annihilation Book 2 (2007)
Silver Surfer	Annihilation: Silver Surfer (2006)
Silver Surfer	Annihilators (2010 - 2011)
Silver Surfer	Avengers (1963 - 1996)
Silver Surfer	Avengers (1996 - 1997)
Silver Surfer	Avengers Assemble Vol. 4 (2007)
Silver Surfer	Chaos War (2010 - 2011)
Silver Surfer	Chaos War One-Shots (2010 - Present)
Silver Surfer	Daredevil (2011 - 2014)
Silver Surfer	Daredevil (1963 - 1998)
Silver Surfer	Deadpool Team-Up (2010 - 2011)
Silver Surfer	Deadpool Team-Up Vol. 3 (2010 - Present)
Silver Surfer	Defenders (2011 - 2012)
Silver Surfer	Defenders (2005 - 2006)
Silver Surfer	Defenders (1972 - 1986)
Silver Surfer	Defenders: From the Marvel Vault (2011)
Silver Surfer	Defenders: Indefensible (2005)
Silver Surfer	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Silver Surfer	Earth X (1999)
Union Jack (Brian Falsworth)	Avengers/Invaders (2008 - 2009)
Union Jack (Brian Falsworth)	Captain America (2004 - 2011)
Union Jack (Brian Falsworth)	Captain America: Red Menace Vol. 2 (2006)
Rocket Raccoon	Annihilation Classic (2008)
Rocket Raccoon	Annihilation: Conquest (2007)
Rocket Raccoon	Annihilation: Conquest - Starlord (2007)
Rocket Raccoon	Annihilators (2010 - 2011)
Rocket Raccoon	Annihilators: Earthfall (2011)
Rocket Raccoon	Guardians of the Galaxy (2013 - Present)
Rocket Raccoon	Rocket Raccoon (1985)
Rocket Raccoon	Thanos Imperative (2011)
Rocket Raccoon	The Thanos Imperative (2010)
Cannonball	Astonishing Tales (2009)
Cannonball	Avengers: First to Last (2008 - Present)
Cannonball	Avengers: First to Last Premiere (2008 - Present)
Cannonball	Cable (2008 - 2010)
Cannonball	Cable (1993 - 2002)
Cannonball	Cable Classic Vol. 1 (2008)
Cannonball	Clandestine Classic Premiere (2008)
Cannonball	Counter X Vol. 1 (2008)
Cannonball	Earth X (1999)
Cannonball	Earth X (New (2006)
Cannonball	Excalibur (1988 - 1998)
Cannonball	Marvel Fanfare (1982 - 1992)
Cannonball	Marvel Team-Up (1972 - 1985)
Cannonball	Marvel Two-in-One (1974 - 1983)
Cannonball	Marvel Visionaries: Chris Claremont (2005)
Cannonball	Marvel Weddings (2005)
Cannonball	New Avengers Annual (2009 - Present)
Cannonball	New Mutants (2010 - 2012)
Cannonball	New Mutants (2003 - 2004)
Cannonball	New Mutants (1983 - 1991)
Mary Jane Watson	Amazing Spider-Man (1999 - 2013)
Mary Jane Watson	Amazing Spider-Man Annual (1964 - Present)
Mary Jane Watson	Amazing Spider-Man Family (2008 - 2009)
Mary Jane Watson	Amazing Spider-Man Vol. 10: New Avengers (2005)
Mary Jane Watson	Amazing Spider-Man Vol. 6 (2004)
Mary Jane Watson	Amazing Spider-Man Vol. 9: Skin Deep (2005)
Mary Jane Watson	Deadpool (1997 - 2002)
Mary Jane Watson	Friendly Neighborhood Spider-Man (2005 - 2007)
Mary Jane Watson	Iron Man (1998 - 2004)
Mary Jane Watson	Marvel Knights Spider-Man (2004 - 2006)
Mary Jane Watson	Mary Jane Vol. 2: Homecoming (2005)
Mary Jane Watson	Mary Jane: Homecoming (2005)
Mary Jane Watson	New Avengers (2004 - 2010)
Mary Jane Watson	New Avengers Vol. 3: Secrets & Lies (2006)
Mary Jane Watson	Sensational Spider-Man (2006 - 2007)
Mary Jane Watson	Spider-Man Loves Mary Jane (2005 - 2007)
Mary Jane Watson	Spider-Man Loves Mary Jane Vol. 1: Super Crush (2006)
Mary Jane Watson	Spider-Man Loves Mary Jane Vol. 3: My Secret Life (2007)
Mary Jane Watson	Spider-Man Loves Mary Jane Vol. 4: Still Friends (2007)
Mary Jane Watson	Spider-Man Unlimited (2004 - 2006)
Josiah X	Crew (2003)
Frog Thor	Avengers Vs. Pet Avengers (2010 - 2011)
Paladin	Amazing Spider-Man (1999 - 2013)
Paladin	Heroes for Hire (2010 - 2011)
Paladin	Marvel Comics Presents (1988 - 1995)
Paladin	Marvel Premiere (1972 - 1981)
Paladin	Shadowland: Blood on the Streets (2011 - Present)
Paladin	Spider-Island: Heroes for Hire (2011)
Paladin	Villains for Hire (2011 - 2012)
Optimus Prime	New Avengers/Transformers (2007 - 2008)
Patriot	Avengers: The Children's Crusade - Young Avengers (2010 - 2011)
Patriot	Avengers: The Initiative (2007 - 2010)
Patriot	Civil War (2006 - 2007)
Patriot	Civil War: Young Avengers & Runaways (2007)
Patriot	Civil War: Young Avengers & Runaways (2006)
Patriot	Human Torch (1940 - 1954)
Patriot	Marvel Masterworks: Golden Age Human Torch Vol.1 (2005)
Patriot	Marvel Mystery Comics (1939 - 1949)
Patriot	Marvel Super-Heroes (1967 - 1982)
Patriot	Mighty Avengers (2007 - 2010)
Patriot	Young Avengers (2005 - 2006)
Patriot	Young Avengers Presents (2008)
Patriot	Young Avengers Vol. 1: Sidekicks (2005)
Patriot	Young Avengers Vol. 1: Sidekicks (2006)
Patriot	Young Avengers Vol. 2: Family Matters (2007)
Arcana	Squadron Supreme (2006)
Arcana	Squadron Supreme Vol. 1: The Pre-War Years Premiere (2006)
Human Torch (Jim Hammond)	Captain America and Hawkeye (2011 - 2012)
Human Torch (Jim Hammond)	Invaders (1975 - 1979)
Human Torch (Jim Hammond)	Invaders Classic Vol. 1 (2007)
Human Torch (Jim Hammond)	Invaders Classic Vol. 2 (2008)
Human Torch (Jim Hammond)	Invaders Now! (2011)
Human Torch (Jim Hammond)	Invaders Now! (2010 - 2011)
Human Torch (Jim Hammond)	Marvel Comics (1939)
Human Torch (Jim Hammond)	Marvel Masterworks: The Sub-Mariner Vol. I (2nd) (2004)
Human Torch (Jim Hammond)	Marvels (2005)
Human Torch (Jim Hammond)	Marvels (1994)
Human Torch (Jim Hammond)	Marvels 10th Anniversary (2004)
Human Torch (Jim Hammond)	Marvels Vol. I (1999)
Human Torch (Jim Hammond)	Secret Avengers (2010 - 2012)
Human Torch (Jim Hammond)	The Marvels Project (2009 - 2010)
Human Torch (Jim Hammond)	Torch (2009 - 2010)
Thanos	Alpha Flight (1983 - 1994)
Thanos	Avengers & the Infinity Gauntlet (2011)
Thanos	Avengers Annual (1967 - 1994)
Thanos	AVENGERS ASSEMBLE (2012 - Present)
Thanos	Captain Marvel (1968 - 1979)
Thanos	Deadpool (1997 - 2002)
Thanos	Deadpool Classic Vol. 5 (2010 - Present)
Thanos	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Thanos	Fantastic Four (1961 - 1998)
Thanos	Infinity Abyss (1999)
Thanos	Infinity Abyss (2002)
Thanos	Infinity Crusade Vol. 1 (2008 - Present)
Thanos	Infinity Gauntlet (1991)
Thanos	Marvel Comics Presents (1988 - 1995)
Thanos	Marvel Masterworks: Captain Marvel Vol. 3 (2008)
Thanos	Marvel Masterworks: Captain Marvel Vol. 3 (2008)
Thanos	Marvel Two-in-One (1974 - 1983)
Thanos	Marvel Universe Vol. I: Thanos: Infinity Abyss (2003)
Thanos	Paradise X (2002 - 2003)
Thanos	Paradise X Vol. 1 (2007)
Jackpot	Amazing Spider-Man (1999 - 2013)
Jackpot	Amazing Spider-Man Family (2008 - 2009)
Jackpot	Howard the Duck (1979 - 1981)
Jackpot	Spider-Man: New York Stories (2011 - Present)
Mandroid	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Mandroid	Uncanny X-Men (1963 - 2011)
Mandroid	Uncanny X-Men Omnibus Vol. 1 (2006)
Stature	Avengers: The Children's Crusade - Young Avengers (2010 - 2011)
Stature	Civil War: Young Avengers & Runaways (2007)
Stature	Civil War: Young Avengers & Runaways (2006)
Stature	Incredible Hulks (2009 - 2011)
Stature	Mighty Avengers (2007 - 2010)
Stature	Thunderbolts (2006 - 2012)
Stature	Young Avengers (2005 - 2006)
Stature	Young Avengers Vol. 1: Sidekicks (2006)
Stature	Young Avengers Vol. 1: Sidekicks (2005)
The Winter Soldier	Agents of Atlas (2009)
The Winter Soldier	All-Winners Comics (1941 - 1947)
The Winter Soldier	All-Winners Squad: Band of Heroes (2011)
The Winter Soldier	Amazing Spider-Man (1999 - 2013)
The Winter Soldier	Avengers (2010 - 2012)
The Winter Soldier	Avengers Vs. Pet Avengers (2010 - 2011)
The Winter Soldier	Avengers/Invaders (2008 - 2009)
The Winter Soldier	Batroc (2010 - 2011)
The Winter Soldier	Black Widow (2010)
The Winter Soldier	Cap Transport (2005 - 2006)
The Winter Soldier	Captain America (2004 - 2011)
The Winter Soldier	Captain America (1968 - 1996)
The Winter Soldier	Captain America and Hawkeye (2011 - 2012)
The Winter Soldier	Captain America by Jack Kirby: Bicentennial Battles (2005)
The Winter Soldier	Captain America Comics (1941 - 1950)
The Winter Soldier	Captain America Comics 70th Anniversary Special (2009 - 2011)
The Winter Soldier	Captain America Corps (2010 - 2011)
The Winter Soldier	Captain America: Bicentennial Battles (1976)
The Winter Soldier	Captain America: Captain America Lives! (2010)
The Winter Soldier	Captain America: First Vengeance (2010)
Mr. Fantastic	4 (2004 - 2006)
Mr. Fantastic	4 Vol. 2: The Stuff of Nightmares (2005)
Mr. Fantastic	Adam: Legend of the Blue Marvel (2008)
Mr. Fantastic	Adam: Legend of the Blue Marvel (2008)
Mr. Fantastic	Alpha Flight (1983 - 1994)
Mr. Fantastic	Alpha Flight Classic Vol. 1 (2007)
Mr. Fantastic	Amazing Spider-Man (1999 - 2013)
Mr. Fantastic	Avengers (2010 - 2012)
Mr. Fantastic	Avengers (1963 - 1996)
Mr. Fantastic	Avengers (1998 - 2004)
Mr. Fantastic	Avengers (1996 - 1997)
Mr. Fantastic	Avengers Assemble Vol. 4 (2007)
Mr. Fantastic	Avengers: First to Last (2008 - Present)
Mr. Fantastic	Avengers: First to Last Premiere (2008 - Present)
Mr. Fantastic	Best of the Fantastic Four Vol. 1 (2005)
Mr. Fantastic	Black Panther (2005 - 2008)
Mr. Fantastic	Black Panther: The Bride (2006)
Mr. Fantastic	Cable (1993 - 2002)
Mr. Fantastic	Cable & Deadpool (2004 - 2008)
Mr. Fantastic	Chaos War: Chaos King (2010)
Star-Lord (Peter Quill)	All-New X-Men (2012 - Present)
Star-Lord (Peter Quill)	Annihilation Classic (2008)
Star-Lord (Peter Quill)	Annihilation: Conquest (2007)
Star-Lord (Peter Quill)	Annihilation: Conquest - Starlord (2007)
Star-Lord (Peter Quill)	Guardians of the Galaxy (2013 - Present)
Star-Lord (Peter Quill)	Marvel Premiere (1972 - 1981)
Star-Lord (Peter Quill)	Marvel Preview (1977 - 1981)
Star-Lord (Peter Quill)	Marvel Spotlight (1979 - 1981)
Star-Lord (Peter Quill)	Marvel Visionaries: Chris Claremont (2005)
Star-Lord (Peter Quill)	Thanos Imperative (2011)
Star-Lord (Peter Quill)	The Thanos Imperative (2010)
Baron Zemo (Heinrich Zemo)	Avengers (1963 - 1996)
Baron Zemo (Heinrich Zemo)	Avengers Annual (1967 - 1994)
Baron Zemo (Heinrich Zemo)	Captain America (2004 - 2011)
Baron Zemo (Heinrich Zemo)	Captain America (2002 - 2004)
Baron Zemo (Heinrich Zemo)	Captain America Vol. 2: The Extremists (2003)
Baron Zemo (Heinrich Zemo)	Captain America: Winter Soldier Vol. 1 (2006)
Baron Zemo (Heinrich Zemo)	Captain America: Winter Soldier Vol. 2 (2006)
Baron Zemo (Heinrich Zemo)	Earth X (1999)
Baron Zemo (Heinrich Zemo)	Earth X (New (2006)
Baron Zemo (Heinrich Zemo)	House of M: World of M (2006)
Baron Zemo (Heinrich Zemo)	Marvel Masterworks: The Avengers Vol. (2004)
Baron Zemo (Heinrich Zemo)	Marvel Masterworks: The Invincible Iron Man Vol. (2005)
Baron Zemo (Heinrich Zemo)	Tales of Suspense (1959 - 1968)
Baron Zemo (Heinrich Zemo)	Thunderbolts (2006 - 2012)
Baron Zemo (Heinrich Zemo)	Ultimate Comics Thor (2011 - Present)
Blink	Blink (2001)
Blink	Exiles (2001 - 2008)
Blink	Exiles Vol. 11: Time Breakers (2005)
Blink	Exiles Vol. 13: World Tour Book 2 (2006)
Blink	Exiles Vol. 14: The New Exiles (2007)
Blink	Exiles Vol. 15: Enemy of the Stars (2007)
Blink	Exiles Vol. 3: Out of Time (2003)
Blink	Exiles Vol. II: A World Apart (1999)
Blink	Official Handbook of the Marvel Universe (2004)
Blink	Uncanny X-Men (1963 - 2011)
Blink	X-Men (1991 - 2001)
Blink	X-Men Chronicles (1995)
Blink	X-Men: Alpha (1994)
Blink	X-Men: Omega (1995)
Blink	X-Men: The Complete Age of Apocalypse Epic Book 1 (2005)
Blink	X-Men: The Complete Age of Apocalypse Epic Book 2 (2005)
Blink	X-Men: The Complete Age of Apocalypse Epic Book 4 (2006)
Blink	X-Men: The Complete Onslaught Epic Book 4 (2008 - Present)
Inertia	Squadron Supreme (2006)
Inertia	Squadron Supreme Vol. 1: The Pre-War Years Premiere (2006)
Inertia	Ultimate Power (2006 - 2008)
Star Brand	Star Brand (1986 - 1989)
Star Brand	Star Brand Classic Vol. 1 (2006)
Deviants	S.H.I.E.L.D. (2010 - 2011)
Deviants	X-Force (1991 - 2004)
Thaddeus Ross	Hulk (2008 - 2012)
Forge	Alpha Flight (1983 - 1994)
Forge	Bishop: The Last X-Man (1999 - 2001)
Forge	Cable (2008 - 2010)
Forge	Clandestine Classic Premiere (2008)
Forge	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Forge	Essential X-Men Vol. 5 (All-New Edition) (2011 - Present)
Forge	Excalibur (1988 - 1998)
Forge	Marvel Weddings (2005)
Forge	Mystique (2003 - 2005)
Forge	Mystique Vol. 1: Dead Drop Gorgeous (2004)
Forge	New Mutants (1983 - 1991)
Forge	New X-Men (2004 - 2008)
Forge	New X-Men: Childhood's End Vol. 3 (2006)
Forge	Uncanny X-Men (1963 - 2011)
Forge	Wolverine (1988 - 2003)
Forge	Wolverine Legends Vol. 6: Marc Silvestri Book I (2004)
Forge	X-Factor (1986 - 1998)
Forge	X-Factor Annual (1986 - Present)
Forge	X-Force (1991 - 2004)
Forge	X-Men (1991 - 2001)
Ender Wiggin	Orson Scott Card's Speaker for the Dead (2010 - 2011)
Ender Wiggin	Orson Scott Cards's Ender's Speaker for the Dead Premiere HC (2013)
Doctor Strange (Ultimate)	Ultimate Marvel Team-Up (2001 - 2002)
Doctor Strange (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (2006)
Blackout	Nova (1976 - 2010)
Magneto	Alpha Flight (1983 - 1994)
Magneto	Avengers (1963 - 1996)
Magneto	Avengers Academy (2010 - 2012)
Magneto	Avengers VS X-Men (2012)
Magneto	Avengers Vs. X-Men: Versus (2011 - 2012)
Magneto	Avengers West Coast (1985 - 1994)
Magneto	Avengers West Coast: Darker than Scarlet (2008)
Magneto	Avengers: The Children's Crusade (2011)
Magneto	Avengers: The Childrens Crusade (2010 - 2012)
Magneto	Black Panther (1998 - 2003)
Magneto	Cable (1993 - 2002)
Magneto	Clandestine Classic Premiere (2008)
Magneto	Classic X-Men (1986 - 1990)
Magneto	Earth X (1999)
Magneto	Earth X (New (2006)
Magneto	Essential X-Men Vol. 6 (All-New Edition) (2011 - Present)
Magneto	Excalibur (2004 - 2005)
Magneto	Generation Hope (2010 - 2012)
Magneto	Magneto (2014 - Present)
Magneto	Magneto (2010)
Sugar Man	New Mutants (2009 - 2011)
Sugar Man	New Mutants (2010 - 2012)
Carmella Unuscione	Excalibur (1988 - 1998)
Carmella Unuscione	Uncanny X-Men (1963 - 2011)
Carmella Unuscione	X-Men (1991 - 2001)
Moira MacTaggert	Clandestine Classic Premiere (2008)
Moira MacTaggert	New Mutants (2009 - 2011)
Moira MacTaggert	Uncanny X-Men (1963 - 2011)
Moira MacTaggert	X-Force (1991 - 2004)
Moira MacTaggert	X-Men: Clan Destine (1996)
Moira MacTaggert	X-Men: Dream's End (2004)
Gargoyle	Heroes for Hire (2010 - 2011)
Gargoyle	Marvel Fanfare (1982 - 1992)
Gargoyle	Thor: (Issues 615-619) (2011)
Hank Pym	Adam: Legend of the Blue Marvel (2008)
Hank Pym	Adam: Legend of the Blue Marvel (2008)
Hank Pym	Amazing Adventures (1970 - 1976)
Hank Pym	Ant-Man & the Wasp (2010 - 2011)
Hank Pym	Avengers (1996 - 1997)
Hank Pym	Avengers (1963 - 1996)
Hank Pym	Avengers (1998 - 2004)
Hank Pym	Avengers Academy (2010 - 2012)
Hank Pym	Avengers Assemble Vol. 3 (2006)
Hank Pym	Avengers Assemble Vol. 4 (2007)
Hank Pym	Avengers Assemble Vol. 5 (2007)
Hank Pym	Avengers Classic (2007 - 2008)
Hank Pym	Avengers Forever (1998 - 2001)
Hank Pym	Avengers Legends Vol. I: Avengers Forever (2002)
Hank Pym	Avengers Legends Vol. II: George Perez Book I (1999)
Hank Pym	Avengers Origins: Ant-Man & the Wasp (2013)
Hank Pym	Avengers Origins: Vision (2013)
Hank Pym	Avengers Vol. 1: World Trust (2003)
Hank Pym	Avengers: Earth's Mightiest Heroes (2010)
Hank Pym	Avengers: Earth's Mightiest Heroes II (2007)
Chameleon	Amazing Spider-Man (1999 - 2013)
Chameleon	Amazing Spider-Man (1963 - 1998)
Chameleon	Daredevil (1963 - 1998)
Chameleon	Marvel Masterworks: Ant-Man/Giant-Man Vol. (2006)
Chameleon	Marvel Masterworks: Ant-Man/Giant-Man Vol. 1 (0000 - Present)
Chameleon	Peter Parker, Spider-Man Vol. I: A Day in the Life (1999)
Chameleon	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Chameleon	Sensational Spider-Man (2006 - 2007)
Chameleon	Super-Villain Team-Up/Modok's 11 (2007 - 2008)
Chameleon	Tales to Astonish (1959 - 1968)
Chameleon	Webspinners: Tales of Spider-Man (1999 - 2000)
Kid Colt	Kid Colt (2009)
Kid Colt	Rawhide Kid (1960 - 1979)
Kid Colt	Two-Gun Kid (1948 - 1977)
Colleen Wing	Daughters of the Dragon (2006)
Colleen Wing	Daughters of the Dragon: Samurai Bullets (2006)
Colleen Wing	Heroes for Hire (2006 - 2007)
Colleen Wing	Heroes for Hire Vol. 1: Civil War (2007)
Colleen Wing	Heroes for Hire Vol. 2: Ahead of the Curve (2007)
Colleen Wing	Immortal Iron Fist (2006 - 2009)
Colleen Wing	X-Force (1991 - 2004)
Wendell Rand	Immortal Iron Fist (2006 - 2009)
Sebastian Shaw	Avengers Academy (2010 - 2012)
Sebastian Shaw	Generation Hope (2010 - 2012)
Sebastian Shaw	Uncanny X-Force (2010 - 2012)
Sebastian Shaw	Uncanny X-Men (1963 - 2011)
Sebastian Shaw	Uncanny X-Men Annual (2006)
Sebastian Shaw	Uncanny X-Men: Quarantine (2010 - Present)
Sebastian Shaw	X-51 (1999 - 2000)
Sebastian Shaw	X-Force (1991 - 2004)
Sebastian Shaw	X-MEN FIRST CLASS: THE HIGH HAND (2011)
Beast (Ultimate)	Ultimate Marvel Team-Up (2001 - 2002)
Beast (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (2006)
Beast (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Beast (Ultimate)	Ultimate Spider-Man Vol. 16: Deadpool (2006)
Beast (Ultimate)	Ultimate War (2003)
Beast (Ultimate)	Ultimate X-Men (2000 - 2009)
Beast (Ultimate)	Ultimate X-Men MGC (2011)
Beast (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Beast (Ultimate)	Ultimate X-Men Ultimate Collection Book 2 (2007)
Beast (Ultimate)	Ultimate X-Men Vol. 3: World Tour (2005)
Beast (Ultimate)	Ultimate X-Men Vol. 4: Hellfire & Brimstone (2003 - Present)
Beast (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Beast (Ultimate)	Ultimate X-Men Vol. 6: Return of the King (2003)
Beast (Ultimate)	Ultimate X-Men Vol. I: The Tomorrow People (1999)
Beast (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Beast (Ultimate)	Ultimate X-Men Vol. III: World Tour (2002)
Beast (Ultimate)	Ultimate X-Men Vol. VI: Return of the King (2003)
Tombstone	Amazing Spider-Man (1999 - 2013)
Tombstone	Marvel Knights (2000 - 2001)
Tombstone	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Tombstone	Punisher War Journal (1988 - 1995)
Tombstone	Spider-Man's Tangled Web (2001 - 2003)
Tombstone	Spider-Man's Tangled Web Vol. III (2002)
Tombstone	Spider-Man: Origin Of The Species TPB (2011)
Cerise	Excalibur (1988 - 1998)
Earthquake	Fantastic Four/Inhumans (2007)
Earthquake	Inhumans (2000)
Earthquake	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Earthquake	Uncanny X-Men (1963 - 2011)
Earthquake	X-Men Visionaries: Jim Lee (2002)
Earthquake	X-Men: The Dark Phoenix Saga (New Printing) (2006)
Shiva	Wolverine (1988 - 2003)
Shiva	Wolverine Legends Vol. 6: Marc Silvestri Book I (2004)
Shadowcat (Age of Apocalypse)	Official Handbook of the Marvel Universe (2004)
Elektra Natchios (Ultimate)	Ultimate Daredevil & Elektra (1999)
Elektra Natchios (Ultimate)	Ultimate Daredevil and Elektra (2002 - 2003)
Elektra Natchios (Ultimate)	Ultimate Elektra (2004)
Elektra Natchios (Ultimate)	Ultimate Elektra: Devil's Due (2005)
Elektra Natchios (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Elektra Natchios (Ultimate)	Ultimate Spider-Man Vol. 14: Warriors (2005)
Mary Jane Watson (House of M)	Amazing Spider-Man (1999 - 2013)
Spiral (Rita Wayword)	Excalibur (1988 - 1998)
