Character	Comics
Shape	Squadron Supreme Vol. 1: The Pre-War Years Premiere (Hardcover)
Gravity	Age of Heroes (Trade Paperback)
Gravity	Amazing Spider-Man (1999) #666
Gravity	Avengers: The Initiative (2007) #18
Gravity	Avengers: The Initiative (2007) #18 (ZOMBIE VARIANT)
Gravity	Avengers: The Initiative (2007) #25
Gravity	Beyond! (Hardcover)
Gravity	Beyond! (2006) #1
Gravity	Fear Itself: Youth in Revolt (2011) #1
Gravity	Fear Itself: Youth in Revolt (2011) #4
Gravity	Fear Itself: Youth in Revolt (2011) #5
Gravity	Fear Itself: Youth in Revolt (2011) #6
Gravity	Gravity (2005) #1
Gravity	Gravity (2005) #2
Gravity	Gravity (2005) #3
Gravity	Gravity (2005) #4
Gravity	Gravity (2005) #5
Gravity	Gravity: Big-City Super Hero (Digest)
Gravity	Onslaught Unleashed (2010) #1
Gravity	Onslaught Unleashed (2010) #1 (LIEFELD VARIANT A)
Gravity	Onslaught Unleashed (2010) #1 (LIEFELD VARIANT B)
Humbug	Heroes for Hire (2006) #6
Humbug	Heroes for Hire (2006) #7
Humbug	Heroes for Hire (2006) #11
Humbug	Heroes for Hire Vol. 2: Ahead of the Curve (Trade Paperback)
Gorilla Man	Agents of Atlas (2009) #1
Gorilla Man	Agents of Atlas (2009) #1 (50/50 COVER)
Gorilla Man	Agents of Atlas (2009) #2
Gorilla Man	Agents of Atlas (2009) #2 (BACHALO 2ND PRINTING VARIANT)
Gorilla Man	Agents of Atlas (2009) #3
Gorilla Man	Agents of Atlas (2009) #5
Gorilla Man	Deadpool Team-Up Vol. 2: Special Relationship (Trade Paperback)
Gorilla Man	Gorilla Man (2010) #1
Gorilla Man	Gorilla Man (2010) #2
Gorilla Man	Gorilla Man (2010) #3
Gorilla Man	Wolverine (2010) #18
Gorilla Man	Wolverine (2010) #18 (Mc 50th Anniversary Variant)
Micromax	Avengers (1998) #46
Micromax	Avengers: The Kang Dynasty (Trade Paperback)
Carlie Cooper	Amazing Spider-Man (1999) #556
Carlie Cooper	Amazing Spider-Man (1999) #557
Carlie Cooper	Amazing Spider-Man (1999) #586
Carlie Cooper	Amazing Spider-Man (1999) #588
Carlie Cooper	Amazing Spider-Man (1999) #621
Carlie Cooper	Amazing Spider-Man (1999) #627
Carlie Cooper	Amazing Spider-Man (1999) #629
Carlie Cooper	Amazing Spider-Man (1999) #630
Carlie Cooper	Amazing Spider-Man (1999) #630 (QUINONES VARIANT)
Carlie Cooper	Amazing Spider-Man (1999) #631
Carlie Cooper	Amazing Spider-Man (1999) #631 (HEROIC AGE VARIANT)
Carlie Cooper	Amazing Spider-Man (1999) #632
Carlie Cooper	Amazing Spider-Man (1999) #642
Carlie Cooper	Amazing Spider-Man (1999) #643
Carlie Cooper	Amazing Spider-Man (1999) #643 (SHS VARIANT)
Carlie Cooper	Amazing Spider-Man (1999) #643 (JIMENEZ VARIANT)
Carlie Cooper	Amazing Spider-Man (1999) #644
Carlie Cooper	Amazing Spider-Man (1999) #644 (BACHALO VARIANT)
Carlie Cooper	Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT)
Carlie Cooper	Amazing Spider-Man (1999) #646
